original_sentence,subject_text,subject_type,object_text,object_type,marked_sentence,relation_label,source
Migraine tiền triệu có thể gây ra những ảo giác thị giác như nhìn thấy các điểm sáng nhấp nháy.,ine tiền triệu,Nguyên nhân,nhìn thấy các điểm sáng nhấp,Triệu chứng,migra[s] ine tiền triệu [/s] có thể gây ra những ảo giác thị giác như [o] nhìn thấy các điểm sáng nhấp [/o] nháy.,Gây_ra,Silver-Rule
Giới tính nam và mức độ tiếp xúc với độc tố cũng là những yếu tố nguy cơ được ghi nhận của bệnh Parkinson.,Giới tính nam,Nguyên nhân,mức độ tiếp xúc với độc tố,Nguyên nhân,[s] giới tính nam [/s] và [o] mức độ tiếp xúc với độc tố [/o] cũng là những yếu tố nguy cơ được ghi nhận của bệnh parkinson.,No_relation,Silver-Rule
Giới tính nam và mức độ tiếp xúc với độc tố cũng là những yếu tố nguy cơ được ghi nhận của bệnh Parkinson.,mức độ tiếp xúc với độc tố,Nguyên nhân,Giới tính nam,Nguyên nhân,[o] giới tính nam [/o] và [s] mức độ tiếp xúc với độc tố [/s] cũng là những yếu tố nguy cơ được ghi nhận của bệnh parkinson.,No_relation,Silver-Rule
Nhóm thuốc Triptan thường được bác sĩ chỉ định đặc hiệu để cắt cơn đau Migraine khi các thuốc giảm đau thông thường không hiệu quả.,đau,Bệnh,Nhóm,Điều trị,[o] nhóm [/o] thuốc triptan thường được bác sĩ chỉ định đặc hiệu để cắt cơn [s] đau [/s] migraine khi các thuốc giảm đau thông thường không hiệu quả.,Điều_trị_bằng,Silver-Rule
Nhóm thuốc Triptan thường được bác sĩ chỉ định đặc hiệu để cắt cơn đau Migraine khi các thuốc giảm đau thông thường không hiệu quả.,đau,Bệnh,thuốc,Điều trị,nhóm [o] thuốc [/o] triptan thường được bác sĩ chỉ định đặc hiệu để cắt cơn [s] đau [/s] migraine khi các thuốc giảm đau thông thường không hiệu quả.,Điều_trị_bằng,Silver-Rule
Các bệnh lý mạch máu não cũng là một nguyên nhân tiềm ẩn gây ra hội chứng Parkinson thứ phát.,Các,Nguyên nhân,Parkinson,Bệnh,[s] các [/s] bệnh lý mạch máu não cũng là một nguyên nhân tiềm ẩn gây ra hội chứng [o] parkinson [/o] thứ phát.,Gây_ra,Silver-Rule
Các bệnh lý mạch máu não cũng là một nguyên nhân tiềm ẩn gây ra hội chứng Parkinson thứ phát.,bệnh lý mạch máu não,Nguyên nhân,Parkinson,Bệnh,các [s] bệnh lý mạch máu não [/s] cũng là một nguyên nhân tiềm ẩn gây ra hội chứng [o] parkinson [/o] thứ phát.,Gây_ra,Silver-Rule
Thuốc Levodopa được xem là tiêu chuẩn vàng trong điều trị Parkinson nhờ khả năng bù đắp lượng dopamine bị thiếu hụt.,Parkinson,Bệnh,Thuốc,Điều trị,[o] thuốc [/o] levodopa được xem là tiêu chuẩn vàng trong điều trị [s] parkinson [/s] nhờ khả năng bù đắp lượng dopamine bị thiếu hụt.,Điều_trị_bằng,Silver-Rule
Metformin là thuốc điều trị khởi đầu phổ biến nhất dành cho bệnh nhân đái tháo đường tuýp 2 nhằm giảm sản xuất đường tại gan.,bệnh nhân đái tháo đường,Bệnh,min,Điều trị,metfor[o] min [/o] là thuốc điều trị khởi đầu phổ biến nhất dành cho [s] bệnh nhân đái tháo đường [/s] tuýp 2 nhằm giảm sản xuất đường tại gan.,Điều_trị_bằng,Silver-Rule
Metformin là thuốc điều trị khởi đầu phổ biến nhất dành cho bệnh nhân đái tháo đường tuýp 2 nhằm giảm sản xuất đường tại gan.,bệnh nhân đái tháo đường,Bệnh,thuốc,Điều trị,metformin là [o] thuốc [/o] điều trị khởi đầu phổ biến nhất dành cho [s] bệnh nhân đái tháo đường [/s] tuýp 2 nhằm giảm sản xuất đường tại gan.,Điều_trị_bằng,Silver-Rule
"Biến chứng thần kinh ngoại biên do tiểu đường thường gây ra cảm giác tê bì, châm chích và mất cảm giác ở bàn chân.",tiểu đường,Nguyên nhân,chứng thần kinh ngoại biên,Bệnh,"biến [o] chứng thần kinh ngoại biên [/o] do [s] tiểu đường [/s] thường gây ra cảm giác tê bì, châm chích và mất cảm giác ở bàn chân.",Gây_ra,Silver-Rule
"Biến chứng thần kinh ngoại biên do tiểu đường thường gây ra cảm giác tê bì, châm chích và mất cảm giác ở bàn chân.",tiểu đường,Nguyên nhân,cảm giác tê,Triệu chứng,"biến chứng thần kinh ngoại biên do [s] tiểu đường [/s] thường gây ra [o] cảm giác tê [/o] bì, châm chích và mất cảm giác ở bàn chân.",Gây_ra,Silver-Rule
Biến chứng võng mạc do tiểu đường là nguyên nhân hàng đầu gây suy giảm thị lực và mù lòa ở người trưởng thành.,tiểu đường,Nguyên nhân,Biến chứng võng mạc,Bệnh,[o] biến chứng võng mạc [/o] do [s] tiểu đường [/s] là nguyên nhân hàng đầu gây suy giảm thị lực và mù lòa ở người trưởng thành.,Gây_ra,Silver-Rule
Biến chứng võng mạc do tiểu đường là nguyên nhân hàng đầu gây suy giảm thị lực và mù lòa ở người trưởng thành.,giảm thị lực,Nguyên nhân,Biến chứng võng mạc,Bệnh,[o] biến chứng võng mạc [/o] do tiểu đường là nguyên nhân hàng đầu gây suy [s] giảm thị lực [/s] và mù lòa ở người trưởng thành.,Gây_ra,Silver-Rule
Dấu hiệu chữ viết nhỏ dần và khó đọc thường xuất hiện sớm trước khi các triệu chứng run của bệnh Parkinson trở nên rõ rệt.,Dấu hiệu chữ viết nhỏ dần,Triệu chứng,khó đọc,Triệu chứng,[s] dấu hiệu chữ viết nhỏ dần [/s] và [o] khó đọc [/o] thường xuất hiện sớm trước khi các triệu chứng run của bệnh parkinson trở nên rõ rệt.,No_relation,Silver-Rule
Dấu hiệu chữ viết nhỏ dần và khó đọc thường xuất hiện sớm trước khi các triệu chứng run của bệnh Parkinson trở nên rõ rệt.,khó đọc,Triệu chứng,Dấu hiệu chữ viết nhỏ dần,Triệu chứng,[o] dấu hiệu chữ viết nhỏ dần [/o] và [s] khó đọc [/s] thường xuất hiện sớm trước khi các triệu chứng run của bệnh parkinson trở nên rõ rệt.,No_relation,Silver-Rule
Dấu hiệu chữ viết nhỏ dần và khó đọc thường xuất hiện sớm trước khi các triệu chứng run của bệnh Parkinson trở nên rõ rệt.,Parkinson,Bệnh,Dấu hiệu chữ viết nhỏ dần,Triệu chứng,[o] dấu hiệu chữ viết nhỏ dần [/o] và khó đọc thường xuất hiện sớm trước khi các triệu chứng run của bệnh [s] parkinson [/s] trở nên rõ rệt.,Có_triệu_chứng,Silver-Rule
Dấu hiệu chữ viết nhỏ dần và khó đọc thường xuất hiện sớm trước khi các triệu chứng run của bệnh Parkinson trở nên rõ rệt.,Parkinson,Bệnh,khó đọc,Triệu chứng,dấu hiệu chữ viết nhỏ dần và [o] khó đọc [/o] thường xuất hiện sớm trước khi các triệu chứng run của bệnh [s] parkinson [/s] trở nên rõ rệt.,Có_triệu_chứng,Silver-Rule
"Thuốc lợi tiểu giúp đào thải bớt muối và nước dư thừa ra khỏi cơ thể, từ đó làm giảm áp lực trong lòng mạch máu.",Thuốc lợi tiểu,Điều trị,muối,Nguyên nhân,"[s] thuốc lợi tiểu [/s] giúp đào thải bớt [o] muối [/o] và nước dư thừa ra khỏi cơ thể, từ đó làm giảm áp lực trong lòng mạch máu.",No_relation,Silver-Rule
"Thuốc lợi tiểu giúp đào thải bớt muối và nước dư thừa ra khỏi cơ thể, từ đó làm giảm áp lực trong lòng mạch máu.",Thuốc lợi tiểu,Điều trị,nước dư,Nguyên nhân,"[s] thuốc lợi tiểu [/s] giúp đào thải bớt muối và [o] nước dư [/o] thừa ra khỏi cơ thể, từ đó làm giảm áp lực trong lòng mạch máu.",No_relation,Silver-Rule
"Thuốc lợi tiểu giúp đào thải bớt muối và nước dư thừa ra khỏi cơ thể, từ đó làm giảm áp lực trong lòng mạch máu.",muối,Nguyên nhân,nước dư,Nguyên nhân,"thuốc lợi tiểu giúp đào thải bớt [s] muối [/s] và [o] nước dư [/o] thừa ra khỏi cơ thể, từ đó làm giảm áp lực trong lòng mạch máu.",No_relation,Silver-Rule
"Thuốc lợi tiểu giúp đào thải bớt muối và nước dư thừa ra khỏi cơ thể, từ đó làm giảm áp lực trong lòng mạch máu.",nước dư,Nguyên nhân,muối,Nguyên nhân,"thuốc lợi tiểu giúp đào thải bớt [o] muối [/o] và [s] nước dư [/s] thừa ra khỏi cơ thể, từ đó làm giảm áp lực trong lòng mạch máu.",No_relation,Silver-Rule
"Migraine thân não thường gây ra các vấn đề về thăng bằng, chóng mặt và làm tim đập nhanh.",ine thân não,Nguyên nhân,về thăng,Triệu chứng,"migra[s] ine thân não [/s] thường gây ra các vấn đề [o] về thăng [/o] bằng, chóng mặt và làm tim đập nhanh.",Gây_ra,Silver-Rule
Cứng khớp và cử động chậm lại là những dấu hiệu cảnh báo sớm quan trọng của bệnh lý này.,bệnh lý,Bệnh,ứng khớp và,Triệu chứng,c[o] ứng khớp và [/o] cử động chậm lại là những dấu hiệu cảnh báo sớm quan trọng của [s] bệnh lý [/s] này.,Có_triệu_chứng,Silver-Rule
Cứng khớp và cử động chậm lại là những dấu hiệu cảnh báo sớm quan trọng của bệnh lý này.,bệnh lý,Bệnh,cử động chậm lại,Triệu chứng,cứng khớp và [o] cử động chậm lại [/o] là những dấu hiệu cảnh báo sớm quan trọng của [s] bệnh lý [/s] này.,Có_triệu_chứng,Silver-Rule
Bệnh đau đầu Migraine đặc trưng bởi những cơn đau nhức với cường độ dữ dội và nghiêm trọng.,Bệnh đau đầu,Bệnh,cường độ,Triệu chứng,[s] bệnh đau đầu [/s] migraine đặc trưng bởi những cơn đau nhức với [o] cường độ [/o] dữ dội và nghiêm trọng.,Có_triệu_chứng,Silver-Rule
Bệnh đau đầu Migraine đặc trưng bởi những cơn đau nhức với cường độ dữ dội và nghiêm trọng.,đau nhức,Triệu chứng,cường độ,Triệu chứng,bệnh đau đầu migraine đặc trưng bởi những cơn [s] đau nhức [/s] với [o] cường độ [/o] dữ dội và nghiêm trọng.,No_relation,Silver-Rule
Bệnh đau đầu Migraine đặc trưng bởi những cơn đau nhức với cường độ dữ dội và nghiêm trọng.,cường độ,Triệu chứng,đau nhức,Triệu chứng,bệnh đau đầu migraine đặc trưng bởi những cơn [o] đau nhức [/o] với [s] cường độ [/s] dữ dội và nghiêm trọng.,No_relation,Silver-Rule
Buồn nôn và nôn mửa là những triệu chứng tiêu hóa rất thường gặp đi kèm với cơn đau đầu nhói theo nhịp mạch.,Buồn nôn,Triệu chứng,nôn mửa,Triệu chứng,[s] buồn nôn [/s] và [o] nôn mửa [/o] là những triệu chứng tiêu hóa rất thường gặp đi kèm với cơn đau đầu nhói theo nhịp mạch.,No_relation,Silver-Rule
Buồn nôn và nôn mửa là những triệu chứng tiêu hóa rất thường gặp đi kèm với cơn đau đầu nhói theo nhịp mạch.,nôn mửa,Triệu chứng,Buồn nôn,Triệu chứng,[o] buồn nôn [/o] và [s] nôn mửa [/s] là những triệu chứng tiêu hóa rất thường gặp đi kèm với cơn đau đầu nhói theo nhịp mạch.,No_relation,Silver-Rule
"Ngoài các triệu chứng vận động, bệnh Parkinson còn gây ra trầm cảm, lo âu và suy giảm nhận thức ở giai đoạn muộn.",vận,Nguyên nhân,trầm,Triệu chứng,"ngoài các triệu chứng [s] vận [/s] động, bệnh parkinson còn gây ra [o] trầm [/o] cảm, lo âu và suy giảm nhận thức ở giai đoạn muộn.",Gây_ra,Silver-Rule
Chế độ ăn giàu flavonoid từ hoa quả và rau xanh rất tốt cho những người có nguy cơ mắc các bệnh thoái hóa thần kinh.,Chế độ ăn giàu flavonoid từ hoa quả,Điều trị,rau,Điều trị,[s] chế độ ăn giàu flavonoid từ hoa quả [/s] và [o] rau [/o] xanh rất tốt cho những người có nguy cơ mắc các bệnh thoái hóa thần kinh.,No_relation,Silver-Rule
Chế độ ăn giàu flavonoid từ hoa quả và rau xanh rất tốt cho những người có nguy cơ mắc các bệnh thoái hóa thần kinh.,rau,Điều trị,Chế độ ăn giàu flavonoid từ hoa quả,Điều trị,[o] chế độ ăn giàu flavonoid từ hoa quả [/o] và [s] rau [/s] xanh rất tốt cho những người có nguy cơ mắc các bệnh thoái hóa thần kinh.,No_relation,Silver-Rule
Parkinson thứ phát có thể hình thành sau chấn thương sọ não hoặc do tác dụng phụ của một số loại thuốc.,tác dụng phụ,Nguyên nhân,Parkinson,Bệnh,[o] parkinson [/o] thứ phát có thể hình thành sau chấn thương sọ não hoặc do [s] tác dụng phụ [/s] của một số loại thuốc.,Gây_ra,Silver-Rule
Căng thẳng thần kinh và mất ngủ là những yếu tố kích hoạt hàng đầu khiến bệnh Migraine tái phát.,Căng thẳng thần kinh,Nguyên nhân,mất ngủ,Nguyên nhân,[s] căng thẳng thần kinh [/s] và [o] mất ngủ [/o] là những yếu tố kích hoạt hàng đầu khiến bệnh migraine tái phát.,No_relation,Silver-Rule
Căng thẳng thần kinh và mất ngủ là những yếu tố kích hoạt hàng đầu khiến bệnh Migraine tái phát.,mất ngủ,Nguyên nhân,Căng thẳng thần kinh,Nguyên nhân,[o] căng thẳng thần kinh [/o] và [s] mất ngủ [/s] là những yếu tố kích hoạt hàng đầu khiến bệnh migraine tái phát.,No_relation,Silver-Rule
Biểu hiện run trong bệnh Parkinson thường bắt đầu ở một tay hoặc ngón tay và tăng lên khi người bệnh căng thẳng.,run,Triệu chứng,Parkinson,Bệnh,biểu hiện [s] run [/s] trong bệnh [o] parkinson [/o] thường bắt đầu ở một tay hoặc ngón tay và tăng lên khi người bệnh căng thẳng.,Có_triệu_chứng,Silver-Model
Biểu hiện run trong bệnh Parkinson thường bắt đầu ở một tay hoặc ngón tay và tăng lên khi người bệnh căng thẳng.,Parkinson,Bệnh,run,Triệu chứng,biểu hiện [o] run [/o] trong bệnh [s] parkinson [/s] thường bắt đầu ở một tay hoặc ngón tay và tăng lên khi người bệnh căng thẳng.,Có_triệu_chứng,Silver-Model
Huyết áp tâm thu có xu hướng tăng dần theo tuổi tác do sự xơ cứng tự nhiên của thành động mạch.,xơ cứng,Nguyên nhân,Huyết áp tâm thu,Bệnh,[o] huyết áp tâm thu [/o] có xu hướng tăng dần theo tuổi tác do sự [s] xơ cứng [/s] tự nhiên của thành động mạch.,Gây_ra,Silver-Rule
Huyết áp tâm thu có xu hướng tăng dần theo tuổi tác do sự xơ cứng tự nhiên của thành động mạch.,thành động,Nguyên nhân,Huyết áp tâm thu,Bệnh,[o] huyết áp tâm thu [/o] có xu hướng tăng dần theo tuổi tác do sự xơ cứng tự nhiên của [s] thành động [/s] mạch.,Gây_ra,Silver-Rule
Viêm phổi hít là một biến chứng nguy hiểm do tình trạng khó nuốt và rối loạn vận động thực quản gây ra.,rối loạn vận động thực quản,Nguyên nhân,Viêm phổi hít,Bệnh,[o] viêm phổi hít [/o] là một biến chứng nguy hiểm do tình trạng khó nuốt và [s] rối loạn vận động thực quản [/s] gây ra.,Gây_ra,Silver-Rule
Tình trạng khó thở khi leo cầu thang hoặc gắng sức nhẹ có thể là biểu hiện của suy tim do hậu quả bệnh mạch vành.,khó thở khi leo cầu thang,Triệu chứng,gắng sức nhẹ,Triệu chứng,tình trạng [s] khó thở khi leo cầu thang [/s] hoặc [o] gắng sức nhẹ [/o] có thể là biểu hiện của suy tim do hậu quả bệnh mạch vành.,No_relation,Silver-Rule
Tình trạng khó thở khi leo cầu thang hoặc gắng sức nhẹ có thể là biểu hiện của suy tim do hậu quả bệnh mạch vành.,gắng sức nhẹ,Triệu chứng,khó thở khi leo cầu thang,Triệu chứng,tình trạng [o] khó thở khi leo cầu thang [/o] hoặc [s] gắng sức nhẹ [/s] có thể là biểu hiện của suy tim do hậu quả bệnh mạch vành.,No_relation,Silver-Rule
Tình trạng khó thở khi leo cầu thang hoặc gắng sức nhẹ có thể là biểu hiện của suy tim do hậu quả bệnh mạch vành.,suy tim,Bệnh,khó thở khi leo cầu thang,Triệu chứng,tình trạng [o] khó thở khi leo cầu thang [/o] hoặc gắng sức nhẹ có thể là biểu hiện của [s] suy tim [/s] do hậu quả bệnh mạch vành.,Có_triệu_chứng,Silver-Rule
Tình trạng khó thở khi leo cầu thang hoặc gắng sức nhẹ có thể là biểu hiện của suy tim do hậu quả bệnh mạch vành.,suy tim,Bệnh,gắng sức nhẹ,Triệu chứng,tình trạng khó thở khi leo cầu thang hoặc [o] gắng sức nhẹ [/o] có thể là biểu hiện của [s] suy tim [/s] do hậu quả bệnh mạch vành.,Có_triệu_chứng,Silver-Rule
Phác đồ điều trị thường kết hợp giữa thuốc giảm đau và thuốc chống nôn để mang lại hiệu quả tốt nhất.,thuốc giảm đau,Điều trị,thuốc chống nôn,Điều trị,phác đồ điều trị thường kết hợp giữa [s] thuốc giảm đau [/s] và [o] thuốc chống nôn [/o] để mang lại hiệu quả tốt nhất.,No_relation,Silver-Rule
Phác đồ điều trị thường kết hợp giữa thuốc giảm đau và thuốc chống nôn để mang lại hiệu quả tốt nhất.,thuốc chống nôn,Điều trị,thuốc giảm đau,Điều trị,phác đồ điều trị thường kết hợp giữa [o] thuốc giảm đau [/o] và [s] thuốc chống nôn [/s] để mang lại hiệu quả tốt nhất.,No_relation,Silver-Rule
Kê gối cao đầu khi nằm nghỉ là một mẹo nhỏ giúp giảm bớt sự khó chịu trong cơn đau Migraine.,khó chịu,Triệu chứng,Kê gối cao đầu,Điều trị,[o] kê gối cao đầu [/o] khi nằm nghỉ là một mẹo nhỏ giúp giảm bớt sự [s] khó chịu [/s] trong cơn đau migraine.,No_relation,Silver-Rule
Đột tử do rối loạn nhịp tim là một trong những biến chứng nguy hiểm nhất mà bệnh nhân mạch vành phải đối mặt.,ột tử do rối loạn nhịp tim,Nguyên nhân,bệnh nhân mạch vành,Bệnh,đ[s] ột tử do rối loạn nhịp tim [/s] là một trong những biến chứng nguy hiểm nhất mà [o] bệnh nhân mạch vành [/o] phải đối mặt.,Gây_ra,Silver-Rule
Cơ chế gây đau bao gồm sự giãn nở mạch máu não và rối loạn chức năng não bộ giải phóng Serotonin và Dopamin.,giãn nở mạch máu não,Nguyên nhân,rối loạn chức năng não bộ,Nguyên nhân,cơ chế gây đau bao gồm sự [s] giãn nở mạch máu não [/s] và [o] rối loạn chức năng não bộ [/o] giải phóng serotonin và dopamin.,No_relation,Silver-Rule
Cơ chế gây đau bao gồm sự giãn nở mạch máu não và rối loạn chức năng não bộ giải phóng Serotonin và Dopamin.,rối loạn chức năng não bộ,Nguyên nhân,giãn nở mạch máu não,Nguyên nhân,cơ chế gây đau bao gồm sự [o] giãn nở mạch máu não [/o] và [s] rối loạn chức năng não bộ [/s] giải phóng serotonin và dopamin.,No_relation,Silver-Rule
Nhạy cảm quá mức với âm thanh và ánh sáng là những triệu chứng điển hình đi kèm cơn đau Migraine.,đau,Bệnh,ạy cảm quá mức với âm thanh và ánh sáng,Triệu chứng,nh[o] ạy cảm quá mức với âm thanh và ánh sáng [/o] là những triệu chứng điển hình đi kèm cơn [s] đau [/s] migraine.,Có_triệu_chứng,Silver-Rule
"Chữ viết nhỏ dần và giọng nói trở nên đơn điệu, thầm thì là những triệu chứng thường gặp ở bệnh nhân Parkinson.",Chữ viết nhỏ dần,Triệu chứng,giọng nói,Triệu chứng,"[s] chữ viết nhỏ dần [/s] và [o] giọng nói [/o] trở nên đơn điệu, thầm thì là những triệu chứng thường gặp ở bệnh nhân parkinson.",No_relation,Silver-Rule
"Chữ viết nhỏ dần và giọng nói trở nên đơn điệu, thầm thì là những triệu chứng thường gặp ở bệnh nhân Parkinson.",giọng nói,Triệu chứng,Chữ viết nhỏ dần,Triệu chứng,"[o] chữ viết nhỏ dần [/o] và [s] giọng nói [/s] trở nên đơn điệu, thầm thì là những triệu chứng thường gặp ở bệnh nhân parkinson.",No_relation,Silver-Rule
Kiểm soát chặt chẽ chỉ số cholesterol và huyết áp là chìa khóa vàng để phòng ngừa biến chứng nhồi máu cơ tim.,cholesterol và huyết áp,Nguyên nhân,nhồi máu cơ,Bệnh,kiểm soát chặt chẽ chỉ số [s] cholesterol và huyết áp [/s] là chìa khóa vàng để phòng ngừa biến chứng [o] nhồi máu cơ [/o] tim.,Gây_ra,Silver-Rule
Bệnh Parkinson có thể khởi phát do sự tương tác phức tạp giữa các biến đổi gen và tác động từ môi trường bên ngoài.,các,Nguyên nhân,Parkinson,Bệnh,bệnh [o] parkinson [/o] có thể khởi phát do sự tương tác phức tạp giữa [s] các [/s] biến đổi gen và tác động từ môi trường bên ngoài.,Gây_ra,Silver-Rule
Bệnh Parkinson có thể khởi phát do sự tương tác phức tạp giữa các biến đổi gen và tác động từ môi trường bên ngoài.,biến đổi gen,Nguyên nhân,Parkinson,Bệnh,bệnh [o] parkinson [/o] có thể khởi phát do sự tương tác phức tạp giữa các [s] biến đổi gen [/s] và tác động từ môi trường bên ngoài.,Gây_ra,Silver-Rule
Bệnh Parkinson có thể khởi phát do sự tương tác phức tạp giữa các biến đổi gen và tác động từ môi trường bên ngoài.,biến đổi gen,Nguyên nhân,tác động,Nguyên nhân,bệnh parkinson có thể khởi phát do sự tương tác phức tạp giữa các [s] biến đổi gen [/s] và [o] tác động [/o] từ môi trường bên ngoài.,No_relation,Silver-Rule
Bệnh Parkinson có thể khởi phát do sự tương tác phức tạp giữa các biến đổi gen và tác động từ môi trường bên ngoài.,tác động,Nguyên nhân,Parkinson,Bệnh,bệnh [o] parkinson [/o] có thể khởi phát do sự tương tác phức tạp giữa các biến đổi gen và [s] tác động [/s] từ môi trường bên ngoài.,Gây_ra,Silver-Rule
Bệnh Parkinson có thể khởi phát do sự tương tác phức tạp giữa các biến đổi gen và tác động từ môi trường bên ngoài.,tác động,Nguyên nhân,biến đổi gen,Nguyên nhân,bệnh parkinson có thể khởi phát do sự tương tác phức tạp giữa các [o] biến đổi gen [/o] và [s] tác động [/s] từ môi trường bên ngoài.,No_relation,Silver-Rule
Huyết áp cao không được kiểm soát là nguyên nhân chính dẫn đến các ca tai biến mạch máu não và xuất huyết não.,Huyết áp cao,Bệnh,biến mạch máu não,Bệnh,[s] huyết áp cao [/s] không được kiểm soát là nguyên nhân chính dẫn đến các ca tai [o] biến mạch máu não [/o] và xuất huyết não.,Gây_ra,Silver-Rule
Huyết áp cao không được kiểm soát là nguyên nhân chính dẫn đến các ca tai biến mạch máu não và xuất huyết não.,biến mạch máu não,Bệnh,Huyết áp cao,Bệnh,[o] huyết áp cao [/o] không được kiểm soát là nguyên nhân chính dẫn đến các ca tai [s] biến mạch máu não [/s] và xuất huyết não.,Gây_ra,Silver-Rule
Thay đổi lối sống lành mạnh như cai thuốc lá và hạn chế rượu bia là bước đầu tiên trong phác đồ điều trị tăng huyết áp.,cai thuốc lá,Điều trị,hạn chế rượu,Điều trị,thay đổi lối sống lành mạnh như [s] cai thuốc lá [/s] và [o] hạn chế rượu [/o] bia là bước đầu tiên trong phác đồ điều trị tăng huyết áp.,No_relation,Silver-Rule
Thay đổi lối sống lành mạnh như cai thuốc lá và hạn chế rượu bia là bước đầu tiên trong phác đồ điều trị tăng huyết áp.,hạn chế rượu,Điều trị,cai thuốc lá,Điều trị,thay đổi lối sống lành mạnh như [o] cai thuốc lá [/o] và [s] hạn chế rượu [/s] bia là bước đầu tiên trong phác đồ điều trị tăng huyết áp.,No_relation,Silver-Rule
Thay đổi lối sống lành mạnh như cai thuốc lá và hạn chế rượu bia là bước đầu tiên trong phác đồ điều trị tăng huyết áp.,tăng huyết,Bệnh,đổi lối sống lành,Điều trị,thay [o] đổi lối sống lành [/o] mạnh như cai thuốc lá và hạn chế rượu bia là bước đầu tiên trong phác đồ điều trị [s] tăng huyết [/s] áp.,Điều_trị_bằng,Silver-Rule
Thay đổi lối sống lành mạnh như cai thuốc lá và hạn chế rượu bia là bước đầu tiên trong phác đồ điều trị tăng huyết áp.,tăng huyết,Bệnh,cai thuốc lá,Điều trị,thay đổi lối sống lành mạnh như [o] cai thuốc lá [/o] và hạn chế rượu bia là bước đầu tiên trong phác đồ điều trị [s] tăng huyết [/s] áp.,Điều_trị_bằng,Silver-Rule
