original_sentence,subject_text,subject_type,object_text,object_type,marked_sentence,relation_label
"Thiếu hụt vitamin B12, bệnh Hashimoto và đái tháo đường type 1 là nguyên nhân gây viêm dạ dày tự miễn.",đái tháo đường type 1,Bệnh,viêm dạ dày tự miễn,Bệnh,"thiếu hụt vitamin b12, bệnh hashimoto và [s] đái tháo đường type 1 [/s] là nguyên nhân gây [o] viêm dạ dày tự miễn [/o].",Gây_ra
"Thiếu hụt vitamin B12, bệnh Hashimoto và đái tháo đường type 1 là nguyên nhân gây viêm dạ dày tự miễn.",viêm dạ dày tự miễn,Bệnh,Thiếu hụt vitamin B12,Nguyên nhân,"[o] thiếu hụt vitamin b12 [/o], bệnh hashimoto và đái tháo đường type 1 là nguyên nhân gây [s] viêm dạ dày tự miễn [/s].",No_relation
"Thiếu hụt vitamin B12, bệnh Hashimoto và đái tháo đường type 1 là nguyên nhân gây viêm dạ dày tự miễn.",viêm dạ dày tự miễn,Bệnh,bệnh Hashimoto,Bệnh,"thiếu hụt vitamin b12, [o] bệnh hashimoto [/o] và đái tháo đường type 1 là nguyên nhân gây [s] viêm dạ dày tự miễn [/s].",No_relation
"Thiếu hụt vitamin B12, bệnh Hashimoto và đái tháo đường type 1 là nguyên nhân gây viêm dạ dày tự miễn.",viêm dạ dày tự miễn,Bệnh,đái tháo đường type 1,Bệnh,"thiếu hụt vitamin b12, bệnh hashimoto và [o] đái tháo đường type 1 [/o] là nguyên nhân gây [s] viêm dạ dày tự miễn [/s].",No_relation
"Triệu chứng chủ yếu của viêm dạ dày cấp là cơn đau thượng vị, gây ra những bất tiện khó chịu trong hoạt động ăn uống.",viêm dạ dày cấp,Bệnh,cơn đau thượng vị,Triệu chứng,"triệu chứng chủ yếu của [s] viêm dạ dày cấp [/s] là [o] cơn đau thượng vị [/o], gây ra những bất tiện khó chịu trong hoạt động ăn uống.",Có_triệu_chứng
"Triệu chứng chủ yếu của viêm dạ dày cấp là cơn đau thượng vị, gây ra những bất tiện khó chịu trong hoạt động ăn uống.",cơn đau thượng vị,Triệu chứng,viêm dạ dày cấp,Bệnh,"triệu chứng chủ yếu của [o] viêm dạ dày cấp [/o] là [s] cơn đau thượng vị [/s], gây ra những bất tiện khó chịu trong hoạt động ăn uống.",No_relation
"Trong một số trường hợp, những người bị huyết áp cao có thể có cảm giác đập thình thịch ở đầu hoặc ngực, cảm giác quay cuồng hoặc chóng mặt.",đập thình thịch ở đầu hoặc ngực,Triệu chứng,quay cuồng,Triệu chứng,"trong một số trường hợp, những người bị huyết áp cao có thể có cảm giác [s] đập thình thịch ở đầu hoặc ngực [/s], cảm giác [o] quay cuồng [/o] hoặc chóng mặt.",No_relation
"Trong một số trường hợp, những người bị huyết áp cao có thể có cảm giác đập thình thịch ở đầu hoặc ngực, cảm giác quay cuồng hoặc chóng mặt.",đập thình thịch ở đầu hoặc ngực,Triệu chứng,chóng mặt,Triệu chứng,"trong một số trường hợp, những người bị huyết áp cao có thể có cảm giác [s] đập thình thịch ở đầu hoặc ngực [/s], cảm giác quay cuồng hoặc [o] chóng mặt [/o].",No_relation
"Trong một số trường hợp, những người bị huyết áp cao có thể có cảm giác đập thình thịch ở đầu hoặc ngực, cảm giác quay cuồng hoặc chóng mặt.",đập thình thịch ở đầu hoặc ngực,Triệu chứng,huyết áp cao,Bệnh,"trong một số trường hợp, những người bị [o] huyết áp cao [/o] có thể có cảm giác [s] đập thình thịch ở đầu hoặc ngực [/s], cảm giác quay cuồng hoặc chóng mặt.",No_relation
"Trong một số trường hợp, những người bị huyết áp cao có thể có cảm giác đập thình thịch ở đầu hoặc ngực, cảm giác quay cuồng hoặc chóng mặt.",quay cuồng,Triệu chứng,đập thình thịch ở đầu hoặc ngực,Triệu chứng,"trong một số trường hợp, những người bị huyết áp cao có thể có cảm giác [o] đập thình thịch ở đầu hoặc ngực [/o], cảm giác [s] quay cuồng [/s] hoặc chóng mặt.",No_relation
"Trong một số trường hợp, những người bị huyết áp cao có thể có cảm giác đập thình thịch ở đầu hoặc ngực, cảm giác quay cuồng hoặc chóng mặt.",quay cuồng,Triệu chứng,chóng mặt,Triệu chứng,"trong một số trường hợp, những người bị huyết áp cao có thể có cảm giác đập thình thịch ở đầu hoặc ngực, cảm giác [s] quay cuồng [/s] hoặc [o] chóng mặt [/o].",No_relation
"Trong một số trường hợp, những người bị huyết áp cao có thể có cảm giác đập thình thịch ở đầu hoặc ngực, cảm giác quay cuồng hoặc chóng mặt.",quay cuồng,Triệu chứng,huyết áp cao,Bệnh,"trong một số trường hợp, những người bị [o] huyết áp cao [/o] có thể có cảm giác đập thình thịch ở đầu hoặc ngực, cảm giác [s] quay cuồng [/s] hoặc chóng mặt.",No_relation
"Trong một số trường hợp, những người bị huyết áp cao có thể có cảm giác đập thình thịch ở đầu hoặc ngực, cảm giác quay cuồng hoặc chóng mặt.",chóng mặt,Triệu chứng,đập thình thịch ở đầu hoặc ngực,Triệu chứng,"trong một số trường hợp, những người bị huyết áp cao có thể có cảm giác [o] đập thình thịch ở đầu hoặc ngực [/o], cảm giác quay cuồng hoặc [s] chóng mặt [/s].",No_relation
"Trong một số trường hợp, những người bị huyết áp cao có thể có cảm giác đập thình thịch ở đầu hoặc ngực, cảm giác quay cuồng hoặc chóng mặt.",chóng mặt,Triệu chứng,quay cuồng,Triệu chứng,"trong một số trường hợp, những người bị huyết áp cao có thể có cảm giác đập thình thịch ở đầu hoặc ngực, cảm giác [o] quay cuồng [/o] hoặc [s] chóng mặt [/s].",No_relation
"Trong một số trường hợp, những người bị huyết áp cao có thể có cảm giác đập thình thịch ở đầu hoặc ngực, cảm giác quay cuồng hoặc chóng mặt.",chóng mặt,Triệu chứng,huyết áp cao,Bệnh,"trong một số trường hợp, những người bị [o] huyết áp cao [/o] có thể có cảm giác đập thình thịch ở đầu hoặc ngực, cảm giác quay cuồng hoặc [s] chóng mặt [/s].",No_relation
"Trong một số trường hợp, những người bị huyết áp cao có thể có cảm giác đập thình thịch ở đầu hoặc ngực, cảm giác quay cuồng hoặc chóng mặt.",huyết áp cao,Bệnh,đập thình thịch ở đầu hoặc ngực,Triệu chứng,"trong một số trường hợp, những người bị [s] huyết áp cao [/s] có thể có cảm giác [o] đập thình thịch ở đầu hoặc ngực [/o], cảm giác quay cuồng hoặc chóng mặt.",Có_triệu_chứng
"Trong một số trường hợp, những người bị huyết áp cao có thể có cảm giác đập thình thịch ở đầu hoặc ngực, cảm giác quay cuồng hoặc chóng mặt.",huyết áp cao,Bệnh,quay cuồng,Triệu chứng,"trong một số trường hợp, những người bị [s] huyết áp cao [/s] có thể có cảm giác đập thình thịch ở đầu hoặc ngực, cảm giác [o] quay cuồng [/o] hoặc chóng mặt.",Có_triệu_chứng
"Trong một số trường hợp, những người bị huyết áp cao có thể có cảm giác đập thình thịch ở đầu hoặc ngực, cảm giác quay cuồng hoặc chóng mặt.",huyết áp cao,Bệnh,chóng mặt,Triệu chứng,"trong một số trường hợp, những người bị [s] huyết áp cao [/s] có thể có cảm giác đập thình thịch ở đầu hoặc ngực, cảm giác quay cuồng hoặc [o] chóng mặt [/o].",Có_triệu_chứng
Trào ngược mật vào dạ dày là yếu tố làm tăng nguy cơ mắc viêm dạ dày.,Trào ngược mật vào dạ dày,Nguyên nhân,viêm dạ dày,Bệnh,[s] trào ngược mật vào dạ dày [/s] là yếu tố làm tăng nguy cơ mắc [o] viêm dạ dày [/o].,Gây_ra
Trào ngược mật vào dạ dày là yếu tố làm tăng nguy cơ mắc viêm dạ dày.,viêm dạ dày,Bệnh,Trào ngược mật vào dạ dày,Nguyên nhân,[o] trào ngược mật vào dạ dày [/o] là yếu tố làm tăng nguy cơ mắc [s] viêm dạ dày [/s].,No_relation
"Tăng huyết áp thứ phát có thể do thuốc như cam thảo, thuốc tránh thai, một số thuốc cường giao cảm.",Tăng huyết áp,Bệnh,cam thảo,Nguyên nhân,"[s] tăng huyết áp [/s] thứ phát có thể do thuốc như [o] cam thảo [/o], thuốc tránh thai, một số thuốc cường giao cảm.",No_relation
"Tăng huyết áp thứ phát có thể do thuốc như cam thảo, thuốc tránh thai, một số thuốc cường giao cảm.",Tăng huyết áp,Bệnh,thuốc tránh thai,Nguyên nhân,"[s] tăng huyết áp [/s] thứ phát có thể do thuốc như cam thảo, [o] thuốc tránh thai [/o], một số thuốc cường giao cảm.",No_relation
"Tăng huyết áp thứ phát có thể do thuốc như cam thảo, thuốc tránh thai, một số thuốc cường giao cảm.",Tăng huyết áp,Bệnh,thuốc cường giao cảm,Nguyên nhân,"[s] tăng huyết áp [/s] thứ phát có thể do thuốc như cam thảo, thuốc tránh thai, một số [o] thuốc cường giao cảm [/o].",No_relation
"Tăng huyết áp thứ phát có thể do thuốc như cam thảo, thuốc tránh thai, một số thuốc cường giao cảm.",cam thảo,Nguyên nhân,Tăng huyết áp,Bệnh,"[o] tăng huyết áp [/o] thứ phát có thể do thuốc như [s] cam thảo [/s], thuốc tránh thai, một số thuốc cường giao cảm.",Gây_ra
"Tăng huyết áp thứ phát có thể do thuốc như cam thảo, thuốc tránh thai, một số thuốc cường giao cảm.",cam thảo,Nguyên nhân,thuốc tránh thai,Nguyên nhân,"tăng huyết áp thứ phát có thể do thuốc như [s] cam thảo [/s], [o] thuốc tránh thai [/o], một số thuốc cường giao cảm.",No_relation
"Tăng huyết áp thứ phát có thể do thuốc như cam thảo, thuốc tránh thai, một số thuốc cường giao cảm.",cam thảo,Nguyên nhân,thuốc cường giao cảm,Nguyên nhân,"tăng huyết áp thứ phát có thể do thuốc như [s] cam thảo [/s], thuốc tránh thai, một số [o] thuốc cường giao cảm [/o].",No_relation
"Tăng huyết áp thứ phát có thể do thuốc như cam thảo, thuốc tránh thai, một số thuốc cường giao cảm.",thuốc tránh thai,Nguyên nhân,Tăng huyết áp,Bệnh,"[o] tăng huyết áp [/o] thứ phát có thể do thuốc như cam thảo, [s] thuốc tránh thai [/s], một số thuốc cường giao cảm.",Gây_ra
"Tăng huyết áp thứ phát có thể do thuốc như cam thảo, thuốc tránh thai, một số thuốc cường giao cảm.",thuốc tránh thai,Nguyên nhân,cam thảo,Nguyên nhân,"tăng huyết áp thứ phát có thể do thuốc như [o] cam thảo [/o], [s] thuốc tránh thai [/s], một số thuốc cường giao cảm.",No_relation
"Tăng huyết áp thứ phát có thể do thuốc như cam thảo, thuốc tránh thai, một số thuốc cường giao cảm.",thuốc tránh thai,Nguyên nhân,thuốc cường giao cảm,Nguyên nhân,"tăng huyết áp thứ phát có thể do thuốc như cam thảo, [s] thuốc tránh thai [/s], một số [o] thuốc cường giao cảm [/o].",No_relation
"Tăng huyết áp thứ phát có thể do thuốc như cam thảo, thuốc tránh thai, một số thuốc cường giao cảm.",thuốc cường giao cảm,Nguyên nhân,Tăng huyết áp,Bệnh,"[o] tăng huyết áp [/o] thứ phát có thể do thuốc như cam thảo, thuốc tránh thai, một số [s] thuốc cường giao cảm [/s].",Gây_ra
"Tăng huyết áp thứ phát có thể do thuốc như cam thảo, thuốc tránh thai, một số thuốc cường giao cảm.",thuốc cường giao cảm,Nguyên nhân,cam thảo,Nguyên nhân,"tăng huyết áp thứ phát có thể do thuốc như [o] cam thảo [/o], thuốc tránh thai, một số [s] thuốc cường giao cảm [/s].",No_relation
"Tăng huyết áp thứ phát có thể do thuốc như cam thảo, thuốc tránh thai, một số thuốc cường giao cảm.",thuốc cường giao cảm,Nguyên nhân,thuốc tránh thai,Nguyên nhân,"tăng huyết áp thứ phát có thể do thuốc như cam thảo, [o] thuốc tránh thai [/o], một số [s] thuốc cường giao cảm [/s].",No_relation
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",trầm cảm,Bệnh,nhức đầu,Triệu chứng,"bệnh [s] trầm cảm [/s] có các biểu hiện sinh lý như [o] nhức đầu [/o], mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",Có_triệu_chứng
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",trầm cảm,Bệnh,mỏi vai gáy,Triệu chứng,"bệnh [s] trầm cảm [/s] có các biểu hiện sinh lý như nhức đầu, [o] mỏi vai gáy [/o], hồi hộp trống ngực và đau nhức tay chân.",Có_triệu_chứng
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",trầm cảm,Bệnh,hồi hộp trống ngực,Triệu chứng,"bệnh [s] trầm cảm [/s] có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, [o] hồi hộp trống ngực [/o] và đau nhức tay chân.",Có_triệu_chứng
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",trầm cảm,Bệnh,đau nhức tay chân,Triệu chứng,"bệnh [s] trầm cảm [/s] có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và [o] đau nhức tay chân [/o].",Có_triệu_chứng
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",nhức đầu,Triệu chứng,trầm cảm,Bệnh,"bệnh [o] trầm cảm [/o] có các biểu hiện sinh lý như [s] nhức đầu [/s], mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",No_relation
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",nhức đầu,Triệu chứng,mỏi vai gáy,Triệu chứng,"bệnh trầm cảm có các biểu hiện sinh lý như [s] nhức đầu [/s], [o] mỏi vai gáy [/o], hồi hộp trống ngực và đau nhức tay chân.",No_relation
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",nhức đầu,Triệu chứng,hồi hộp trống ngực,Triệu chứng,"bệnh trầm cảm có các biểu hiện sinh lý như [s] nhức đầu [/s], mỏi vai gáy, [o] hồi hộp trống ngực [/o] và đau nhức tay chân.",No_relation
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",nhức đầu,Triệu chứng,đau nhức tay chân,Triệu chứng,"bệnh trầm cảm có các biểu hiện sinh lý như [s] nhức đầu [/s], mỏi vai gáy, hồi hộp trống ngực và [o] đau nhức tay chân [/o].",No_relation
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",mỏi vai gáy,Triệu chứng,trầm cảm,Bệnh,"bệnh [o] trầm cảm [/o] có các biểu hiện sinh lý như nhức đầu, [s] mỏi vai gáy [/s], hồi hộp trống ngực và đau nhức tay chân.",No_relation
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",mỏi vai gáy,Triệu chứng,nhức đầu,Triệu chứng,"bệnh trầm cảm có các biểu hiện sinh lý như [o] nhức đầu [/o], [s] mỏi vai gáy [/s], hồi hộp trống ngực và đau nhức tay chân.",No_relation
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",mỏi vai gáy,Triệu chứng,hồi hộp trống ngực,Triệu chứng,"bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, [s] mỏi vai gáy [/s], [o] hồi hộp trống ngực [/o] và đau nhức tay chân.",No_relation
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",mỏi vai gáy,Triệu chứng,đau nhức tay chân,Triệu chứng,"bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, [s] mỏi vai gáy [/s], hồi hộp trống ngực và [o] đau nhức tay chân [/o].",No_relation
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",hồi hộp trống ngực,Triệu chứng,trầm cảm,Bệnh,"bệnh [o] trầm cảm [/o] có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, [s] hồi hộp trống ngực [/s] và đau nhức tay chân.",No_relation
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",hồi hộp trống ngực,Triệu chứng,nhức đầu,Triệu chứng,"bệnh trầm cảm có các biểu hiện sinh lý như [o] nhức đầu [/o], mỏi vai gáy, [s] hồi hộp trống ngực [/s] và đau nhức tay chân.",No_relation
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",hồi hộp trống ngực,Triệu chứng,mỏi vai gáy,Triệu chứng,"bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, [o] mỏi vai gáy [/o], [s] hồi hộp trống ngực [/s] và đau nhức tay chân.",No_relation
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",hồi hộp trống ngực,Triệu chứng,đau nhức tay chân,Triệu chứng,"bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, [s] hồi hộp trống ngực [/s] và [o] đau nhức tay chân [/o].",No_relation
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",đau nhức tay chân,Triệu chứng,trầm cảm,Bệnh,"bệnh [o] trầm cảm [/o] có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và [s] đau nhức tay chân [/s].",No_relation
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",đau nhức tay chân,Triệu chứng,nhức đầu,Triệu chứng,"bệnh trầm cảm có các biểu hiện sinh lý như [o] nhức đầu [/o], mỏi vai gáy, hồi hộp trống ngực và [s] đau nhức tay chân [/s].",No_relation
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",đau nhức tay chân,Triệu chứng,mỏi vai gáy,Triệu chứng,"bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, [o] mỏi vai gáy [/o], hồi hộp trống ngực và [s] đau nhức tay chân [/s].",No_relation
"Bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, hồi hộp trống ngực và đau nhức tay chân.",đau nhức tay chân,Triệu chứng,hồi hộp trống ngực,Triệu chứng,"bệnh trầm cảm có các biểu hiện sinh lý như nhức đầu, mỏi vai gáy, [o] hồi hộp trống ngực [/o] và [s] đau nhức tay chân [/s].",No_relation
"Điều trị huyết áp cao bao gồm việc bắt đầu ăn theo chế độ ít chất béo và ít muối, giảm cân nếu cần và bắt đầu một chương trình luyện tập thường xuyên.",huyết áp cao,Bệnh,ăn theo chế độ ít chất béo và ít muối,Điều trị,"điều trị [s] huyết áp cao [/s] bao gồm việc bắt đầu [o] ăn theo chế độ ít chất béo và ít muối [/o], giảm cân nếu cần và bắt đầu một chương trình luyện tập thường xuyên.",Điều_trị_bằng
"Điều trị huyết áp cao bao gồm việc bắt đầu ăn theo chế độ ít chất béo và ít muối, giảm cân nếu cần và bắt đầu một chương trình luyện tập thường xuyên.",huyết áp cao,Bệnh,giảm cân,Điều trị,"điều trị [s] huyết áp cao [/s] bao gồm việc bắt đầu ăn theo chế độ ít chất béo và ít muối, [o] giảm cân [/o] nếu cần và bắt đầu một chương trình luyện tập thường xuyên.",Điều_trị_bằng
"Điều trị huyết áp cao bao gồm việc bắt đầu ăn theo chế độ ít chất béo và ít muối, giảm cân nếu cần và bắt đầu một chương trình luyện tập thường xuyên.",huyết áp cao,Bệnh,luyện tập thường xuyên,Điều trị,"điều trị [s] huyết áp cao [/s] bao gồm việc bắt đầu ăn theo chế độ ít chất béo và ít muối, giảm cân nếu cần và bắt đầu một chương trình [o] luyện tập thường xuyên [/o].",Điều_trị_bằng
"Điều trị huyết áp cao bao gồm việc bắt đầu ăn theo chế độ ít chất béo và ít muối, giảm cân nếu cần và bắt đầu một chương trình luyện tập thường xuyên.",ăn theo chế độ ít chất béo và ít muối,Điều trị,huyết áp cao,Bệnh,"điều trị [o] huyết áp cao [/o] bao gồm việc bắt đầu [s] ăn theo chế độ ít chất béo và ít muối [/s], giảm cân nếu cần và bắt đầu một chương trình luyện tập thường xuyên.",No_relation
"Điều trị huyết áp cao bao gồm việc bắt đầu ăn theo chế độ ít chất béo và ít muối, giảm cân nếu cần và bắt đầu một chương trình luyện tập thường xuyên.",ăn theo chế độ ít chất béo và ít muối,Điều trị,giảm cân,Điều trị,"điều trị huyết áp cao bao gồm việc bắt đầu [s] ăn theo chế độ ít chất béo và ít muối [/s], [o] giảm cân [/o] nếu cần và bắt đầu một chương trình luyện tập thường xuyên.",No_relation
"Điều trị huyết áp cao bao gồm việc bắt đầu ăn theo chế độ ít chất béo và ít muối, giảm cân nếu cần và bắt đầu một chương trình luyện tập thường xuyên.",ăn theo chế độ ít chất béo và ít muối,Điều trị,luyện tập thường xuyên,Điều trị,"điều trị huyết áp cao bao gồm việc bắt đầu [s] ăn theo chế độ ít chất béo và ít muối [/s], giảm cân nếu cần và bắt đầu một chương trình [o] luyện tập thường xuyên [/o].",No_relation
"Điều trị huyết áp cao bao gồm việc bắt đầu ăn theo chế độ ít chất béo và ít muối, giảm cân nếu cần và bắt đầu một chương trình luyện tập thường xuyên.",giảm cân,Điều trị,huyết áp cao,Bệnh,"điều trị [o] huyết áp cao [/o] bao gồm việc bắt đầu ăn theo chế độ ít chất béo và ít muối, [s] giảm cân [/s] nếu cần và bắt đầu một chương trình luyện tập thường xuyên.",No_relation
"Điều trị huyết áp cao bao gồm việc bắt đầu ăn theo chế độ ít chất béo và ít muối, giảm cân nếu cần và bắt đầu một chương trình luyện tập thường xuyên.",giảm cân,Điều trị,ăn theo chế độ ít chất béo và ít muối,Điều trị,"điều trị huyết áp cao bao gồm việc bắt đầu [o] ăn theo chế độ ít chất béo và ít muối [/o], [s] giảm cân [/s] nếu cần và bắt đầu một chương trình luyện tập thường xuyên.",No_relation
"Điều trị huyết áp cao bao gồm việc bắt đầu ăn theo chế độ ít chất béo và ít muối, giảm cân nếu cần và bắt đầu một chương trình luyện tập thường xuyên.",giảm cân,Điều trị,luyện tập thường xuyên,Điều trị,"điều trị huyết áp cao bao gồm việc bắt đầu ăn theo chế độ ít chất béo và ít muối, [s] giảm cân [/s] nếu cần và bắt đầu một chương trình [o] luyện tập thường xuyên [/o].",No_relation
"Điều trị huyết áp cao bao gồm việc bắt đầu ăn theo chế độ ít chất béo và ít muối, giảm cân nếu cần và bắt đầu một chương trình luyện tập thường xuyên.",luyện tập thường xuyên,Điều trị,huyết áp cao,Bệnh,"điều trị [o] huyết áp cao [/o] bao gồm việc bắt đầu ăn theo chế độ ít chất béo và ít muối, giảm cân nếu cần và bắt đầu một chương trình [s] luyện tập thường xuyên [/s].",No_relation
"Điều trị huyết áp cao bao gồm việc bắt đầu ăn theo chế độ ít chất béo và ít muối, giảm cân nếu cần và bắt đầu một chương trình luyện tập thường xuyên.",luyện tập thường xuyên,Điều trị,ăn theo chế độ ít chất béo và ít muối,Điều trị,"điều trị huyết áp cao bao gồm việc bắt đầu [o] ăn theo chế độ ít chất béo và ít muối [/o], giảm cân nếu cần và bắt đầu một chương trình [s] luyện tập thường xuyên [/s].",No_relation
"Điều trị huyết áp cao bao gồm việc bắt đầu ăn theo chế độ ít chất béo và ít muối, giảm cân nếu cần và bắt đầu một chương trình luyện tập thường xuyên.",luyện tập thường xuyên,Điều trị,giảm cân,Điều trị,"điều trị huyết áp cao bao gồm việc bắt đầu ăn theo chế độ ít chất béo và ít muối, [o] giảm cân [/o] nếu cần và bắt đầu một chương trình [s] luyện tập thường xuyên [/s].",No_relation
